
finished episode 10700, last recorded reward: 671.8511553865513, last action : 74
finished episode 10800, last recorded reward: 2815.7031235930936, last action : 60
finished episode 10900, last recorded reward: 4065.245216410933, last action : 54
finished episode 11000, last recorded reward: 671.8511553865513, last action : 93
finished episode 11100, last recorded reward: 671.8511553865513, last action : 98
finished episode 11200, last recorded reward: 671.8511553865513, last action : 97
finished episode 11300, last recorded reward: 4065.245216410933, last action : 54
finished episode 11400, last recorded reward: 2177.5102940064166, last action : 29
finished episode 11500, last recorded reward: 671.8511553865513, last action : 93
finished episode 11600, last recorded reward: 1095.5677574185336, last action : 14
finished episode 11700, last recorded reward: 713.9706367166107, last action : 65
finished episode 11800, last recorded reward: 671.8511553865513, last action : 91
finished episode 11900, last recorded reward: 671.8511553865513, last action : 99
finished episode 12000, last recorded reward: 671.8511553865513, last action : 92
finished episode 12100, last recorded reward: 671.8511553865513, last action : 85
finished episode 12200, last recorded reward: 3066.178417805794, last action : 59
finished episode 12300, last recorded reward: 743.7149316104513, last action : 8
finished episode 12400, last recorded reward: 1690.513732845791, last action : 19
finished episode 12500, last recorded reward: 2221.4767462242244, last action : 31
finished episode 12600, last recorded reward: 671.8511553865513, last action : 75
finished episode 12700, last recorded reward: 671.8511553865513, last action : 77
finished episode 12800, last recorded reward: 1134.42901785514, last action : 10
finished episode 12900, last recorded reward: 3798.9320058308876, last action : 56
finished episode 13000, last recorded reward: 1914.5593249497572, last action : 26
finished episode 13100, last recorded reward: 671.8511553865513, last action : 87
finished episode 13200, last recorded reward: 743.7149316104513, last action : 8
finished episode 13300, last recorded reward: 2829.2117675785976, last action : 48
finished episode 13400, last recorded reward: 1754.2314417902237, last action : 24
finished episode 13500, last recorded reward: 1134.42901785514, last action : 10
finished episode 13600, last recorded reward: 573.6678821749839, last action : 3
finished episode 13700, last recorded reward: 2067.2174904190188, last action : 36
finished episode 13800, last recorded reward: 1621.3594441241823, last action : 18
finished episode 13900, last recorded reward: 573.6678821749839, last action : 3
finished episode 14000, last recorded reward: 1105.351784222627, last action : 11
finished episode 14100, last recorded reward: 2177.5102940064166, last action : 29
finished episode 14200, last recorded reward: 1031.8234851855352, last action : 13
finished episode 14300, last recorded reward: 743.7149316104513, last action : 8
finished episode 14400, last recorded reward: 1366.7440018031825, last action : 16
finished episode 14500, last recorded reward: 1105.351784222627, last action : 11
finished episode 14600, last recorded reward: 743.7149316104513, last action : 8
finished episode 14700, last recorded reward: 1095.5677574185336, last action : 14
finished episode 14800, last recorded reward: 2203.074181295225, last action : 32
finished episode 14900, last recorded reward: 873.3809567663402, last action : 9
finished episode 15000, last recorded reward: 573.6678821749839, last action : 3
finished episode 15100, last recorded reward: 329.46564528888086, last action : 4
finished episode 15200, last recorded reward: 584.4225018637936, last action : 7
finished episode 15300, last recorded reward: 329.46564528888086, last action : 4
finished episode 15400, last recorded reward: 1031.8234851855352, last action : 13
finished episode 15500, last recorded reward: 573.6678821749839, last action : 3
finished episode 15600, last recorded reward: 329.46564528888086, last action : 4
finished episode 15700, last recorded reward: 329.46564528888086, last action : 4
finished episode 15800, last recorded reward: 573.6678821749839, last action : 3
finished episode 15900, last recorded reward: 496.87148049614524, last action : 2
finished episode 16000, last recorded reward: 573.6678821749839, last action : 3
finished episode 16100, last recorded reward: 496.87148049614524, last action : 2
finished episode 16200, last recorded reward: 329.46564528888086, last action : 4
finished episode 16300, last recorded reward: 262.5628764325534, last action : 1
finished episode 16400, last recorded reward: 496.87148049614524, last action : 2
finished episode 16500, last recorded reward: 573.6678821749839, last action : 3
finished episode 16600, last recorded reward: 573.6678821749839, last action : 3
finished episode 16700, last recorded reward: 496.87148049614524, last action : 2
finished episode 16800, last recorded reward: 573.6678821749839, last action : 3
finished episode 16900, last recorded reward: 496.87148049614524, last action : 2
finished episode 17000, last recorded reward: 262.5628764325534, last action : 1
finished episode 17100, last recorded reward: 496.87148049614524, last action : 2
finished episode 17200, last recorded reward: 573.6678821749839, last action : 3
finished episode 17300, last recorded reward: 262.5628764325534, last action : 1
finished episode 17400, last recorded reward: 496.87148049614524, last action : 2
finished episode 17500, last recorded reward: 496.87148049614524, last action : 2
finished episode 17600, last recorded reward: 262.5628764325534, last action : 1
finished episode 17700, last recorded reward: 496.87148049614524, last action : 2
finished episode 17800, last recorded reward: 262.5628764325534, last action : 1
finished episode 17900, last recorded reward: 496.87148049614524, last action : 2
finished episode 18000, last recorded reward: 496.87148049614524, last action : 2
finished episode 18100, last recorded reward: 496.87148049614524, last action : 2
finished episode 18200, last recorded reward: 496.87148049614524, last action : 2
finished episode 18300, last recorded reward: 496.87148049614524, last action : 2
finished episode 18400, last recorded reward: 573.6678821749839, last action : 3
finished episode 18500, last recorded reward: 262.5628764325534, last action : 1
finished episode 18600, last recorded reward: 496.87148049614524, last action : 2
finished episode 18700, last recorded reward: 262.5628764325534, last action : 1
finished episode 18800, last recorded reward: 573.6678821749839, last action : 3
finished episode 18900, last recorded reward: 496.87148049614524, last action : 2
finished episode 19000, last recorded reward: 496.87148049614524, last action : 2
finished episode 19100, last recorded reward: 496.87148049614524, last action : 2
finished episode 19200, last recorded reward: 345.7233422383473, last action : 5
finished episode 19300, last recorded reward: 345.7233422383473, last action : 5
finished episode 19400, last recorded reward: 573.6678821749839, last action : 3
finished episode 19500, last recorded reward: 345.7233422383473, last action : 5
finished episode 19600, last recorded reward: 573.6678821749839, last action : 3
finished episode 19700, last recorded reward: 584.4225018637936, last action : 7
finished episode 19800, last recorded reward: 496.87148049614524, last action : 2
finished episode 19900, last recorded reward: 496.87148049614524, last action : 2
finished episode 20000, last recorded reward: 329.46564528888086, last action : 4
finished episode 20100, last recorded reward: 1031.8234851855352, last action : 13
finished episode 20200, last recorded reward: 1709.6111445575448, last action : 21
finished episode 20300, last recorded reward: 1134.42901785514, last action : 10
finished episode 20400, last recorded reward: 584.4225018637936, last action : 7
finished episode 20500, last recorded reward: 1709.6111445575448, last action : 21
finished episode 20600, last recorded reward: 1958.8274386574212, last action : 43
finished episode 20700, last recorded reward: 743.7149316104513, last action : 8
finished episode 20800, last recorded reward: 671.8511553865513, last action : 71
finished episode 20900, last recorded reward: 329.46564528888086, last action : 4
finished episode 21000, last recorded reward: 2215.0702046899496, last action : 30
finished episode 21100, last recorded reward: 345.7233422383473, last action : 5
finished episode 21200, last recorded reward: 2215.0702046899496, last action : 30
finished episode 21300, last recorded reward: 1706.3663819905255, last action : 22
finished episode 21400, last recorded reward: 3562.591797794511, last action : 50
finished episode 21500, last recorded reward: 3576.0933071606796, last action : 57
finished episode 21600, last recorded reward: 671.8511553865513, last action : 82
finished episode 21700, last recorded reward: 2006.205606265206, last action : 41
finished episode 21800, last recorded reward: 1080.066263986152, last action : 61
finished episode 21900, last recorded reward: 1958.8274386574212, last action : 43
finished episode 22000, last recorded reward: 2042.0811793199825, last action : 37
finished episode 22100, last recorded reward: 671.8511553865513, last action : 86
finished episode 22200, last recorded reward: 671.8511553865513, last action : 70
finished episode 22300, last recorded reward: 671.8511553865513, last action : 98
finished episode 22400, last recorded reward: 3326.000309288037, last action : 58
finished episode 22500, last recorded reward: 3562.591797794511, last action : 50
finished episode 22600, last recorded reward: 3756.3789238521863, last action : 51
finished episode 22700, last recorded reward: 671.8511553865513, last action : 93
